PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39221503","Reduced Knee Flexion Strength 18 Years After ACL Reconstruction With Hamstring Tendon Versus Patellar Tendon","Popovic M, Myhre JR, Holen JIH, Gifstad T, Strand IL, Strand T, Mo IF, Fischer-Bredenbeck C, Drogset JO.","Am J Sports Med. 2024 Sep;52(11):2750-2757. doi: 10.1177/03635465241271524. Epub 2024 Sep 2.","Popovic M","Am J Sports Med","2024","2024/09/02","","","10.1177/03635465241271524"
"37893482","Tubularization of Bone-Tendon-Bone Grafts: Effects on Mechanical Strength and Postoperative Knee Stability in Anterior Cruciate Ligament Reconstruction","Obradović M, Ninković S, Gvozdenović N, Tošić M, Milinkov M, Dulić O.","Medicina (Kaunas). 2023 Oct 3;59(10):1764. doi: 10.3390/medicina59101764.","Obradović M","Medicina (Kaunas)","2023","2023/10/28","PMC10608507","","10.3390/medicina59101764"
"35468330","Is contralateral autogenous patellar tendon graft a better choice than ipsilateral for anterior cruciate ligament reconstruction in young sportsmen? A randomized controlled trial","de Souza Borges JH, Oliveira M, Junior PL, de Souza Machado R, Lima R, Ramos LA, Cohen M.","Knee. 2022 Jun;36:33-43. doi: 10.1016/j.knee.2022.03.015. Epub 2022 Apr 22.","de Souza Borges JH","Knee","2022","2022/04/25","","","10.1016/j.knee.2022.03.015"
"34952186","Anterior Cruciate Ligament Patellar Tendon Autograft Fixation at 0° Versus 30° Results in Improved Activity Scores and a Greater Proportion of Patients Achieving the Minimal Clinical Important Difference For Knee Injury and Osteoarthritis Outcome Score Pain: A Randomized Controlled Trial","Chahal J, Whelan DB, Hoit G, Theodoropoulos J, Ajrawat P, Betsch M, Docter S, Dwyer T.","Arthroscopy. 2022 Jun;38(6):1969-1977. doi: 10.1016/j.arthro.2021.12.018. Epub 2021 Dec 22.","Chahal J","Arthroscopy","2022","2021/12/24","","","10.1016/j.arthro.2021.12.018"
"34601649","In vivo knee rotational stability 2 years after the ACL reconstruction using a quadriceps tendon graft with bone block and bone-patellar tendon-bone graft","Komzák M, Hart R, Náhlík D, Vysoký R.","Arch Orthop Trauma Surg. 2022 Aug;142(8):1995-1999. doi: 10.1007/s00402-021-04195-2. Epub 2021 Oct 3.","Komzák M","Arch Orthop Trauma Surg","2022","2021/10/03","","","10.1007/s00402-021-04195-2"
"33945339","Validation of a Risk Calculator to Personalize Graft Choice and Reduce Rupture Rates for Anterior Cruciate Ligament Reconstruction","Marmura H, Getgood AMJ, Spindler KP, Kattan MW, Briskin I, Bryant DM.","Am J Sports Med. 2021 Jun;49(7):1777-1785. doi: 10.1177/03635465211010798. Epub 2021 May 4.","Marmura H","Am J Sports Med","2021","2021/05/04","","","10.1177/03635465211010798"
"32504178","Quadriceps tendon vs. patellar tendon autograft for ACL reconstruction using a hardware-free press-fit fixation technique: comparable stability, function and return-to-sport level but less donor site morbidity in athletes after 10 years","Barié A, Sprinckstub T, Huber J, Jaber A.","Arch Orthop Trauma Surg. 2020 Oct;140(10):1465-1474. doi: 10.1007/s00402-020-03508-1. Epub 2020 Jun 5.","Barié A","Arch Orthop Trauma Surg","2020","2020/06/07","PMC7505888","","10.1007/s00402-020-03508-1"
"32368935","A Randomized Controlled Trial of Bone-Patellar Tendon-Bone Anterior Cruciate Ligament Reconstruction With and Without Lateral Extra-articular Tenodesis: 19-Year Clinical and Radiological Follow-up","Castoldi M, Magnussen RA, Gunst S, Batailler C, Neyret P, Lustig S, Servien E.","Am J Sports Med. 2020 Jun;48(7):1665-1672. doi: 10.1177/0363546520914936. Epub 2020 May 5.","Castoldi M","Am J Sports Med","2020","2020/05/06","","","10.1177/0363546520914936"
"32298131","Bridge-Enhanced Anterior Cruciate Ligament Repair Is Not Inferior to Autograft Anterior Cruciate Ligament Reconstruction at 2 Years: Results of a Prospective Randomized Clinical Trial","Murray MM, Fleming BC, Badger GJ; BEAR Trial Team; Freiberger C, Henderson R, Barnett S, Kiapour A, Ecklund K, Proffen B, Sant N, Kramer DE, Micheli LJ, Yen YM.","Am J Sports Med. 2020 May;48(6):1305-1315. doi: 10.1177/0363546520913532. Epub 2020 Apr 16.","Murray MM","Am J Sports Med","2020","2020/04/17","PMC7227128","","10.1177/0363546520913532"
"32059954","All-Inside Quadrupled Semitendinosus Autograft Shows Stability Equivalent to Patellar Tendon Autograft Anterior Cruciate Ligament Reconstruction: Randomized Controlled Trial in Athletes 24 Years or Younger","Smith PA, Cook CS, Bley JA.","Arthroscopy. 2020 Jun;36(6):1629-1646. doi: 10.1016/j.arthro.2020.01.048. Epub 2020 Feb 12.","Smith PA","Arthroscopy","2020","2020/02/16","","","10.1016/j.arthro.2020.01.048"
